"Journal Data Filtered By:  Selected Journals: Multiple Selected Editions: SCIE;SSCI Selected JCR Year: 2018 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2018 JIF,JIF Quartile,2018 JCI,% of Citable OA
"NATURE","NATURE","NATURE PUBLISHING GROUP","0028-0836","1476-4687","MULTIDISCIPLINARY SCIENCES","SCIE","745,692","43.07","Q1","8.88","2.02"%,
"Nature Human Behaviour","NAT HUM BEHAV","NATURE PUBLISHING GROUP","2397-3374","2397-3374","MULTIDISCIPLINARY SCIENCES","SCIE","1,230","10.575","Q1","3.36","0.57"%,
"Nature Human Behaviour","NAT HUM BEHAV","NATURE PUBLISHING GROUP","2397-3374","2397-3374","NEUROSCIENCES","SCIE","1,230","10.575","Q1","3.36","0.57"%,
"Nature Human Behaviour","NAT HUM BEHAV","NATURE PUBLISHING GROUP","2397-3374","2397-3374","PSYCHOLOGY, EXPERIMENTAL","SSCI","1,230","10.575","Q1","3.36","0.57"%,
"JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY","J PERS SOC PSYCHOL","AMER PSYCHOLOGICAL ASSOC","0022-3514","1939-1315","PSYCHOLOGY, SOCIAL","SSCI","72,132","5.919","Q1","2.74","0.33"%,
"CHILD DEVELOPMENT","CHILD DEV","WILEY","0009-3920","1467-8624","PSYCHOLOGY, DEVELOPMENTAL","SSCI","31,310","5.024","Q1","2.04","6.11"%,
"CHILD DEVELOPMENT","CHILD DEV","WILEY","0009-3920","1467-8624","PSYCHOLOGY, EDUCATIONAL","SSCI","31,310","5.024","Q1","2.04","6.11"%,
"PSYCHOLOGICAL SCIENCE","PSYCHOL SCI","SAGE PUBLICATIONS INC","0956-7976","1467-9280","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","31,343","4.902","Q1","2.64","8.3"%,
"JOURNAL OF CRIMINAL JUSTICE","J CRIM JUST","ELSEVIER SCIENCE BV","0047-2352","1873-6203","CRIMINOLOGY & PENOLOGY","SSCI","3,929","3.973","Q1","2.43","4.97"%,
"JOURNAL OF RESEARCH IN CRIME AND DELINQUENCY","J RES CRIME DELINQ","SAGE PUBLICATIONS INC","0022-4278","1552-731X","CRIMINOLOGY & PENOLOGY","SSCI","2,983","3.273","Q1","2.09","3.37"%,
"Journal of Experimental Criminology","J EXP CRIMINOL","SPRINGER","1573-3750","1572-8315","CRIMINOLOGY & PENOLOGY","SSCI","1,207","2.818","Q1","2.15","13.75"%,
"PLoS One","PLOS ONE","PUBLIC LIBRARY SCIENCE","1932-6203","1932-6203","MULTIDISCIPLINARY SCIENCES","SCIE","650,727","2.776","Q2","0.59","100"%,
"BEHAVIOR GENETICS","BEHAV GENET","SPRINGER","0001-8244","1573-3297","BEHAVIORAL SCIENCES","SCIE","3,084","2.313","Q3","0.84","27.33"%,
"BEHAVIOR GENETICS","BEHAV GENET","SPRINGER","0001-8244","1573-3297","GENETICS & HEREDITY","SCIE","3,084","2.313","Q3","0.84","27.33"%,
"BEHAVIOR GENETICS","BEHAV GENET","SPRINGER","0001-8244","1573-3297","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","3,084","2.313","Q2","0.84","27.33"%,
"AGGRESSION AND VIOLENT BEHAVIOR","AGGRESS VIOLENT BEH","PERGAMON-ELSEVIER SCIENCE LTD","1359-1789","1873-6335","CRIMINOLOGY & PENOLOGY","SSCI","4,374","1.983","Q2","1.04","1.62"%,
"AGGRESSION AND VIOLENT BEHAVIOR","AGGRESS VIOLENT BEH","PERGAMON-ELSEVIER SCIENCE LTD","1359-1789","1873-6335","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","4,374","1.983","Q2","1.04","1.62"%,
"JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE","J OCCUP ENVIRON MED","LIPPINCOTT WILLIAMS & WILKINS","1076-2752","1536-5948","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","6,821","1.591","Q3","0.72","0"%,
"International Journal of Environmental Research","INT J ENVIRON RES","SPRINGER INTERNATIONAL PUBLISHING AG","1735-6865","2008-2304","ENVIRONMENTAL SCIENCES","SCIE","1,335","1.488","Q3","0.34","3.88"%,
"American Journal of Criminal Justice","AM J CRIM JUSTICE","SPRINGER","1066-2316","1936-1351","CRIMINOLOGY & PENOLOGY","SSCI","756","1.074","Q3","0.69","1.43"%,

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
